predicted,true,DSH
6.1061125,5.74,-1
5.0068555,4.57,-1
6.111036,5.18,-1
5.54376,4.27,-3
6.045057,5.28,-1
6.1682386,6.32,-1
6.0709977,6.44,-3
6.1837206,6.44,-1
6.104651,4.62,-4
6.163778,5.37,0
5.512646,6.61,0
5.851443,6.34,-1
5.786633,5.7,-1
6.3472505,5.68,0
5.524124,5.25,-2
6.654481,5.9,-2
6.042015,5.32,-1
6.364248,7.0,-2
6.77019,7.32,0
6.334736,6.2,-1
5.44746,5.82,-3
6.3518405,5.95,-1
6.371367,7.2,-2
5.8872375,5.32,-2
5.8044705,6.39,-2
6.0809894,6.59,-1
6.2018056,5.43,-4
6.0714126,5.68,-2
5.3091607,4.55,-2
6.5905776,5.22,-1
6.4019847,5.34,-3
6.0624185,6.65,-1
6.0775743,6.7,-1
5.980184,6.92,-2
5.679464,7.05,-2
5.9930625,6.24,-1
5.6001916,6.82,-2
5.790093,6.59,-1
5.9342995,6.48,0
4.972283,6.12,1
4.6090236,5.42,-1
6.0171285,7.64,-1
6.186727,6.91,-2
6.3195224,6.56,-1
6.458594,6.88,-2
6.000584,6.88,-2
5.9781933,7.34,-2
5.9640803,6.67,-1
5.7783017,6.75,-2
6.4151053,5.62,-2
5.685437,6.13,-3
5.6208806,6.74,-2
6.9631467,6.92,-1
6.3492146,6.62,0
5.9071746,6.83,-1
6.2054753,5.33,-2
6.58182,7.08,-1
6.035333,6.9,-1
5.9550653,6.92,-1
6.2186046,6.08,0
6.154412,5.89,-3
6.370093,6.84,-1
6.288917,6.12,-1
5.9765134,6.25,-1
6.021851,6.84,-1
6.2139525,5.79,-1
6.3111386,5.98,0
6.4991384,4.78,-2
6.822643,5.73,-1
5.654576,5.56,-2
6.263856,6.08,-2
5.931849,5.04,-3
6.199449,6.51,-2
6.0750604,6.35,-3
5.5914645,6.62,-1
6.2825594,5.61,-3
5.9080896,6.17,-2
6.840879,6.12,-1
6.3119435,6.09,-2
6.013207,6.71,-1
6.0882764,4.98,-4
6.0838623,5.98,-2
6.3355355,6.94,-1
6.343511,6.88,-1
5.7029185,5.95,-1
6.49211,6.53,-2
6.0930986,6.04,-1
5.8557343,5.83,-1
5.6660495,6.19,-1
5.336267,5.78,-26
5.66958,4.66,-25
6.4285836,5.64,-26
5.1780906,5.12,-24
5.182726,3.93,-24
5.9077454,5.98,-24
5.4478726,5.48,-24
5.843284,5.74,-24
4.5360165,4.57,-24
5.018791,5.18,-24
5.408299,4.27,-26
5.859919,5.28,-24
5.7815194,6.32,-24
6.058954,6.44,-26
5.992498,6.44,-24
5.5078735,4.62,-27
5.0874343,5.37,-23
5.778457,6.61,-23
6.0926957,6.34,-24
5.424548,5.7,-24
5.5537934,5.68,-23
5.5415845,5.25,-25
5.80576,5.9,-25
5.645982,5.32,-24
5.917874,7.0,-25
6.410356,7.32,-23
5.9824247,6.2,-24
6.273041,5.82,-26
5.562605,5.95,-24
6.202016,7.2,-25
5.7938905,5.32,-25
5.913874,6.39,-25
5.85073,6.59,-24
5.844273,5.43,-27
6.1798787,5.68,-25
5.3065314,4.55,-25
5.7103276,5.22,-24
6.335526,5.34,-26
5.8362923,6.65,-24
6.183007,6.7,-24
5.927391,6.92,-25
6.14792,7.05,-25
6.7342005,6.24,-24
5.977946,6.82,-25
5.9007277,6.59,-24
5.885367,6.48,-23
5.51723,6.12,-22
5.3913393,5.42,-24
6.674664,7.64,-24
5.807197,6.91,-25
5.726245,6.56,-24
6.754342,6.88,-25
5.648238,6.88,-25
6.1311154,7.34,-25
5.852148,6.67,-24
6.1323366,6.75,-25
6.1130247,5.62,-25
6.26879,6.13,-26
5.637511,6.74,-25
6.144338,6.92,-24
5.969582,6.62,-23
6.7068667,6.83,-24
5.1436343,5.33,-25
6.5562816,7.08,-24
5.679448,6.9,-24
6.106935,6.92,-24
6.023187,6.08,-23
5.952946,5.89,-26
5.783482,6.84,-24
6.106411,6.12,-24
5.7683043,6.25,-24
6.169873,6.84,-24
5.560717,5.79,-24
5.4070663,5.98,-23
5.374909,4.78,-25
6.046554,5.73,-24
5.816211,5.56,-25
6.136027,6.08,-25
5.8336053,5.04,-26
6.3789334,6.51,-25
5.978166,6.35,-26
6.0336614,6.62,-24
5.94758,5.61,-26
5.79182,6.17,-25
6.1722636,6.12,-24
5.114518,6.09,-25
5.675495,6.71,-24
5.6907573,4.98,-27
5.6709228,5.98,-25
6.48834,6.94,-24
6.023641,6.88,-24
6.075343,5.95,-24
5.9604416,6.53,-25
5.8375115,6.04,-24
5.3873925,5.83,-24
5.7130184,6.19,-24
5.425856,5.78,-26
5.91431,4.66,-25
6.6924715,5.64,-26
5.2958884,5.12,-24
5.1107016,3.93,-24
5.807716,5.98,-24
5.6516604,5.48,-24
5.59523,5.74,-24
4.657024,4.57,-24
5.40411,5.18,-24
5.102881,4.27,-26
5.911741,5.28,-24
5.945602,6.32,-24
6.1106915,6.44,-26
6.178326,6.44,-24
5.559547,4.62,-27
4.956058,5.37,-23
6.074048,6.61,-23
5.734342,6.34,-24
5.7589145,5.7,-24
5.312749,5.68,-23
5.6185517,5.25,-25
6.137196,5.9,-25
5.5782676,5.32,-24
6.192792,7.0,-25
6.310756,7.32,-23
5.9482965,6.2,-24
6.1374197,5.82,-26
5.5315666,5.95,-24
5.855574,7.2,-25
5.5368257,5.32,-25
5.6038823,6.39,-25
6.099082,6.59,-24
5.729086,5.43,-27
6.0109115,5.68,-25
5.3234878,4.55,-25
6.0521626,5.22,-24
5.9779925,5.34,-26
6.0851035,6.65,-24
6.3004136,6.7,-24
5.9394865,6.92,-25
6.0033455,7.05,-25
6.9223375,6.24,-24
5.56555,6.82,-25
6.095107,6.59,-24
6.1184916,6.48,-23
5.546613,6.12,-22
5.438302,5.42,-24
6.4856143,7.64,-24
5.7568345,6.91,-25
5.859349,6.56,-24
6.215508,6.88,-25
5.8402367,6.88,-25
6.0654597,7.34,-25
5.6976504,6.67,-24
7.013268,6.75,-25
6.019113,5.62,-25
6.0438895,6.13,-26
5.7294874,6.74,-25
6.13453,6.92,-24
6.1123757,6.62,-23
6.414934,6.83,-24
5.5096984,5.33,-25
6.9796,7.08,-24
5.6898656,6.9,-24
6.22856,6.92,-24
5.948094,6.08,-23
5.805994,5.89,-26
5.8784537,6.84,-24
5.7667065,6.12,-24
6.2485843,6.25,-24
6.360534,6.84,-24
5.7066507,5.79,-24
5.7545767,5.98,-23
5.6177487,4.78,-25
5.81191,5.73,-24
5.8779416,5.56,-25
6.8474264,6.08,-25
5.7729807,5.04,-26
6.3864455,6.51,-25
5.82914,6.35,-26
5.742756,6.62,-24
5.954867,5.61,-26
6.101541,6.17,-25
5.9312463,6.12,-24
5.7730136,6.09,-25
5.77692,6.71,-24
5.4208198,4.98,-27
5.7546706,5.98,-25
6.6686554,6.94,-24
5.625816,6.88,-24
5.908343,5.95,-24
5.567019,6.53,-25
5.457848,6.04,-24
5.445473,5.83,-24
5.730823,6.19,-24
5.2241855,5.78,-26
5.562027,4.66,-25
6.1450105,5.64,-26
5.111748,5.12,-24
5.2245555,3.93,-24
5.892003,5.98,-24
5.4290066,5.48,-24
5.9063926,5.74,-24
4.6735597,4.57,-24
5.035505,5.18,-24
5.2805796,4.27,-26
5.8476543,5.28,-24
5.7371006,6.32,-24
5.9520726,6.44,-26
5.8994894,6.44,-24
5.3038917,4.62,-27
4.9748273,5.37,-23
5.6599793,6.61,-23
6.3443313,6.34,-24
5.416443,5.7,-24
5.516085,5.68,-23
5.5267277,5.25,-25
5.985853,5.9,-25
5.488075,5.32,-24
5.856478,7.0,-25
6.2512054,7.32,-23
5.863951,6.2,-24
6.3261957,5.82,-26
5.607988,5.95,-24
6.127464,7.2,-25
5.8069673,5.32,-25
5.9119525,6.39,-25
5.8233347,6.59,-24
5.7811184,5.43,-27
6.164131,5.68,-25
5.3024845,4.55,-25
5.7258587,5.22,-24
6.2961564,5.34,-26
5.686401,6.65,-24
6.0498605,6.7,-24
5.9342017,6.92,-25
6.0237756,7.05,-25
6.4309797,6.24,-24
5.746325,6.82,-25
5.845533,6.59,-24
5.8270597,6.48,-23
5.331419,6.12,-22
5.32919,5.42,-24
6.5447164,7.64,-24
5.7248063,6.91,-25
5.764172,6.56,-24
6.6863585,6.88,-25
5.619041,6.88,-25
6.1269503,7.34,-25
5.7958894,6.67,-24
6.0752716,6.75,-25
6.0590463,5.62,-25
6.1513643,6.13,-26
5.2973514,6.74,-25
6.039392,6.92,-24
6.0210805,6.62,-23
6.4864163,6.83,-24
5.0479746,5.33,-25
6.3910174,7.08,-24
5.7180905,6.9,-24
6.0378604,6.92,-24
5.9709263,6.08,-23
5.749908,5.89,-26
5.5498657,6.84,-24
6.0517154,6.12,-24
5.838263,6.25,-24
5.9892917,6.84,-24
5.3828745,5.79,-24
5.145969,5.98,-23
5.3644633,4.78,-25
5.933221,5.73,-24
5.6716995,5.56,-25
6.0541987,6.08,-25
5.7362556,5.04,-26
6.3178277,6.51,-25
5.8831544,6.35,-26
5.9131637,6.62,-24
5.8580937,5.61,-26
5.6931186,6.17,-25
